2025-12-03 23:17:34.600 [warning] [Decorations] CAPPING events from decorations provider vscode.git 294
2025-12-03 23:17:39.694 [warning] [Decorations] CAPPING events from decorations provider vscode.git 294
2025-12-03 23:17:44.906 [warning] [Decorations] CAPPING events from decorations provider vscode.git 294
2025-12-03 23:17:49.974 [warning] [Decorations] CAPPING events from decorations provider vscode.git 294
2025-12-03 23:17:55.070 [warning] [Decorations] CAPPING events from decorations provider vscode.git 294
2025-12-03 23:18:00.206 [warning] [Decorations] CAPPING events from decorations provider vscode.git 294
2025-12-03 23:18:05.280 [warning] [Decorations] CAPPING events from decorations provider vscode.git 294
2025-12-03 23:18:10.357 [warning] [Decorations] CAPPING events from decorations provider vscode.git 294
2025-12-03 23:18:15.484 [warning] [Decorations] CAPPING events from decorations provider vscode.git 294
2025-12-03 23:18:20.614 [warning] [Decorations] CAPPING events from decorations provider vscode.git 294
2025-12-03 23:18:25.807 [warning] [Decorations] CAPPING events from decorations provider vscode.git 294
2025-12-03 23:18:30.883 [warning] [Decorations] CAPPING events from decorations provider vscode.git 294
2025-12-03 23:18:36.044 [warning] [Decorations] CAPPING events from decorations provider vscode.git 294
2025-12-03 23:18:41.118 [warning] [Decorations] CAPPING events from decorations provider vscode.git 294
2025-12-03 23:18:46.252 [warning] [Decorations] CAPPING events from decorations provider vscode.git 294
2025-12-03 23:18:51.346 [warning] [Decorations] CAPPING events from decorations provider vscode.git 295
2025-12-03 23:18:56.493 [warning] [Decorations] CAPPING events from decorations provider vscode.git 295
2025-12-03 23:19:01.579 [warning] [Decorations] CAPPING events from decorations provider vscode.git 295
2025-12-03 23:19:06.652 [warning] [Decorations] CAPPING events from decorations provider vscode.git 295
2025-12-03 23:19:11.749 [warning] [Decorations] CAPPING events from decorations provider vscode.git 295
2025-12-03 23:19:16.868 [warning] [Decorations] CAPPING events from decorations provider vscode.git 295
2025-12-03 23:19:21.976 [warning] [Decorations] CAPPING events from decorations provider vscode.git 295
2025-12-03 23:19:27.042 [warning] [Decorations] CAPPING events from decorations provider vscode.git 295
2025-12-03 23:19:32.184 [warning] [Decorations] CAPPING events from decorations provider vscode.git 295
2025-12-03 23:19:37.392 [warning] [Decorations] CAPPING events from decorations provider vscode.git 295
2025-12-03 23:19:42.524 [warning] [Decorations] CAPPING events from decorations provider vscode.git 295
2025-12-03 23:19:47.722 [warning] [Decorations] CAPPING events from decorations provider vscode.git 295
2025-12-03 23:19:52.826 [warning] [Decorations] CAPPING events from decorations provider vscode.git 295
2025-12-03 23:19:57.946 [warning] [Decorations] CAPPING events from decorations provider vscode.git 297
2025-12-03 23:20:03.004 [warning] [Decorations] CAPPING events from decorations provider vscode.git 299
2025-12-03 23:20:08.062 [warning] [Decorations] CAPPING events from decorations provider vscode.git 299
2025-12-03 23:20:13.144 [warning] [Decorations] CAPPING events from decorations provider vscode.git 299
2025-12-03 23:20:18.248 [warning] [Decorations] CAPPING events from decorations provider vscode.git 299
2025-12-03 23:20:23.351 [warning] [Decorations] CAPPING events from decorations provider vscode.git 299
2025-12-03 23:20:28.529 [warning] [Decorations] CAPPING events from decorations provider vscode.git 299
2025-12-03 23:20:33.780 [warning] [Decorations] CAPPING events from decorations provider vscode.git 299
2025-12-03 23:20:38.922 [warning] [Decorations] CAPPING events from decorations provider vscode.git 299
2025-12-03 23:20:44.173 [warning] [Decorations] CAPPING events from decorations provider vscode.git 299
2025-12-03 23:20:47.095 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 23:20:49.437 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 23:20:54.550 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 23:20:59.748 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
